- Seccion 1: todas celdas no vacias A1:W60 (HOJA|CELDA|TIPO|VALOR)
General |F1|str|Economicos
General |F2|str|Brent
General |G2|int|70
General |F3|str|TRM
General |G3|int|4100
General |F4|str|VLSFO 
General |G4|int|10
General |F5|str|HSFO
General |G5|int|7
General |F6|str|MGO
General |G6|int|20
General |F7|str|NAFTA 
General |G7|int|5
General |F8|str|GASOIL
General |G8|int|25
General |F9|str|FUELOIL
General |G9|int|7
General |A11|str|ESCENARIO
General |B11|str|COMPRAS
General |D11|str|VOLUMEN
General |M11|str|INGRESOS
General |S11|str|COSTOS
General |W11|str|UTILIDAD
General |B12|str|CRUDO 
General |C12|str|VOLUMEN COMPRADO
General |D12|str|TOTAL
General |E12|str|A REFINAR
General |F12|str|A MEZCLA
General |G12|str|VLSFO
General |H12|str|HSFO
General |I12|str|MGO
General |J12|str|NAFTA
General |K12|str|GASOIL
General |L12|str|FUEILOIL
General |M12|str|VLSFO
General |N12|str|HSFO
General |O12|str|MGO
General |P12|str|NAFTA
General |Q12|str|GASOIL
General |R12|str|FUEOIL
General |S12|str|OPERACIÓN
General |T12|str|REFINACION
General |U12|str|PRODUCTO
General |V12|str|TRANSPORTE
General |A13|int|1
General |B13|str|CARRIZALES
General |C13|int|600
General |D13|str|=SUM(C13:C20)
General |E13|str|=J13+K13+L13
General |F13|str|=D13-E13
General |G13|str|=F13+L13
General |H13|int|0
General |I13|int|0
General |J13|int|369
General |K13|int|908
General |L13|int|1042
General |M13|int|177187
General |N13|int|0
General |O13|int|0
General |P13|int|27688
General |Q13|int|86328
General |R13|int|0
General |S13|int|4965
General |T13|int|9280
General |U13|int|241961
General |V13|int|28638
General |W13|str|=SUM(M13:R20)-SUM(S13:V20)
General |B14|str|COMBUSTOLEO
General |C14|int|194
General |B15|str|DOROTEA
General |C15|int|250
General |B16|str|F06
General |C16|int|240
General |B17|str|INDICO
General |C17|int|1200
General |B18|str|TAPIR
General |C18|int|750
General |B19|str|TULIPAN
General |C19|int|120
General |B20|str|TURPIAL
General |C20|int|100
General |A22|str|ESCENARIO
General |B22|str|COMPRAS
General |D22|str|VOLUMEN
General |M22|str|INGRESOS
General |S22|str|COSTOS
General |W22|str|UTILIDAD
General |B23|str|CRUDO 
General |C23|str|VOLUMEN COMPRADO
General |D23|str|TOTAL
General |E23|str|A REFINAR
General |F23|str|A MEZCLA
General |G23|str|VLSFO
General |H23|str|HSFO
General |I23|str|MGO
General |J23|str|NAFTA
General |K23|str|GASOIL
General |L23|str|FUEILOIL
General |M23|str|VLSFO
General |N23|str|HSFO
General |O23|str|MGO
General |P23|str|NAFTA
General |Q23|str|GASOIL
General |R23|str|FUEOIL
General |S23|str|OPERACIÓN
General |T23|str|REFINACION
General |U23|str|PRODUCTO
General |V23|str|TRANSPORTE
General |A24|int|2
General |B24|str|COMBUSTOLEO
General |C24|int|130
General |D24|str|=SUM(C24:C30)
General |E24|str|=J24+K24+L24
General |F24|str|=D24-E24
General |G24|str|=F24+L24
General |H24|int|0
General |I24|int|0
General |J24|int|369
General |K24|int|909
General |L24|int|1042
General |M24|int|121825
General |N24|int|0
General |O24|int|0
General |P24|int|27688
General |Q24|int|86328
General |R24|int|0
General |S24|int|2976
General |T24|int|9280
General |U24|int|190784
General |V24|int|28638
General |W24|str|=SUM(M24:R30)-SUM(S24:V30)
General |B25|str|DOROTEA
General |C25|int|250
General |B26|str|F06
General |C26|int|240
General |B27|str|INDICO
General |C27|int|1200
General |B28|str|TAPIR
General |C28|int|750
General |B29|str|TULIPAN
General |C29|int|120
General |B30|str|TURPIAL
General |C30|int|100
Volumenes|D8|str|ESCENARIO
Volumenes|E8|str|COMPRAS
Volumenes|G8|str|VOLUMEN
Volumenes|E9|str|CRUDO 
Volumenes|F9|str|VOLUMEN COMPRADO
Volumenes|G9|str|TOTAL
Volumenes|H9|str|A REFINAR
Volumenes|I9|str|A MEZCLA
Volumenes|J9|str|VLSFO
Volumenes|K9|str|HSFO
Volumenes|L9|str|MGO
Volumenes|M9|str|NAFTA
Volumenes|N9|str|GASOIL
